Title,Year,Authors,Author Keywords,Document Type,NumPages,SourceTitle,DOI,Citations,Source,AI Taxonomy Domain,AI Taxonomy Subdomain,AI Technique,AI model Value to CM,Modeling Purpose,Modelling Language,Tool Support,Contribution Type,Research Type,Author Affiliations,Abstract,Countries,universities
A case study on self-configuring systems in IoT based on a model-driven prototyping approach,2016,"Fabian Kneer, Erik Kamsties",,Conference Paper,10,"International Conference on Information and Software Technologies, ICIST",https://doi.org/10.1007/978-3-319-46254-7_59,2,Scopus,Planning,Optimization,Genetic Algorithms,Model Use - Processing,"Code Generation, Representation",Others,Closed,Algorithms,Evaluation,"[{'name': 'Fabian Kneer', 'Affiliation(s)': ('Dortmund University of Applied Sciences', 'Germany')}, {'name': 'Erik Kamsties', 'Affiliation(s)': ('Dortmund University of Applied Sciences', 'Germany')}]","In the last years, the development of the Internet of Things (IoT) with self-configuring systems (SCS) became more important. Consequently, many different solutions have been developed. [Question/problem] We observed a lack of common benchmarks, in particular for the IoT domain to evaluate and compare solutions. There are very few accessible cases (examples) for SCSs published at all. [Principal ideas/results] We propose a case from the IoT domain, smart cities in particular, which comprises of hardware and software components. Starting point is a smart street lighting system with communication between the lamps and passing cars. [Contribution] First, in this paper we present our initial results of running a case study with a model-based prototyping framework on the smart street light. The framework includes a software simulation of the street lamp and the events from the passing cars. Second, an engineer can use the case as a benchmark to compare several approaches in order to make a more informed decision which approach to choose.","['Germany', 'Germany']","['Dortmund University of Applied Sciences', 'Dortmund University of Applied Sciences']"
A Chatbot for Goal-Oriented Requirements Modeling,2019,"Danilo Arruda, Matheus Marinho, Eric Souza, Fernando Wanderley",,Conference Paper,14,"International Conference on Computational Science and Its Applications, ICCSA",https://doi.org/10.1007/978-3-030-24305-0_38,3,Scopus,"Communication, Integration and Interaction","Natural language processing, Multi-agent systems",NLP,Model Creation - Semi-Automated,Representation,Others,Closed,Tools,"Solution, Evaluation","[{'name': 'Danilo Arruda', 'Affiliation(s)': ('Catholic University of Pernambuco', 'Brazil')}, {'name': 'Matheus Marinho', 'Affiliation(s)': ('Catholic University of Pernambuco', 'Brazil')}, {'name': 'Eric Souza', 'Affiliation(s)': ('NOVA University of Lisbon', 'Portugal')}, {'name': 'Fernando Wanderley', 'Affiliation(s)': ('Catholic University of Pernambuco', 'Brazil')}]","Goal-Oriented Requirements Engineering approaches, in which the KAOS framework plays a key role, have been widely used for eliciting software requirements because they provide an easier way of communicating among stakeholders. However, the goal-oriented requirements modeling is not an easy way for novice requirements engineers. These professionals need more support in creating KAOS models. Recent studies have focused on the applicability of Artificial Intelligence techniques (e.g., Natural Language Processing – NLP) to support Requirements Engineering activities. In this sense, this paper aims to describe a way to support requirements elicitation for novice requirements engineers through the use of NLP within a chatbot. The chatbot (KAOSbot) acts as a KAOS modeling assistant. To evaluate our hypotheses about perceived efficacy from the novice requirements engineers perspective, we performed a quasi-experiment concerning KAOSbot’s perceived ease of use, perceived usefulness and intention to use. The results show that KAOSbot tool is a promising approach for specifying KAOS models because it was perceived as easy to use, useful, and the participants intend to use it in the future.","['Brazil', 'Brazil', 'Portugal', 'Brazil']","['Catholic University of Pernambuco', 'Catholic University of Pernambuco', 'NOVA University of Lisbon', 'Catholic University of Pernambuco']"
A combined specification language and development framework for agent-based application engineering,2006,"José Alberto R.P. Sardinha, Ricardo Choren, Viviane Torres da Silva, Ruy Milidiú, Carlos J.P. de Lucena",,Article,13,Journal of Systems and Software,https://doi.org/10.1016/j.jss.2006.02.018,5,Scopus,"Integration and Interaction, Reasoning",Knowledge representation,Multi-Agent Systems,,Code Generation,DSML,Closed,Methods,Solution,"[{'name': 'José Alberto R.P. Sardinha', 'Affiliation(s)': ('Pontifical Catholic University of Rio de Janeiro', 'Brazil')}, {'name': 'Ricardo Choren', 'Affiliation(s)': ('Instituto Militar de Engenharia', 'Brazil')}, {'name': 'Viviane Torres da Silva', 'Affiliation(s)': ('Pontifical Catholic University of Rio de Janeiro', 'Brazil')}, {'name': 'Ruy Milidiú', 'Affiliation(s)': ('Pontifical Catholic University of Rio de Janeiro', 'Brazil')}, {'name': 'Carlos J.P. de Lucena', 'Affiliation(s)': ('Pontifical Catholic University of Rio de Janeiro', 'Brazil')}]","Software agents are used to solve several complex problems. Software engineering processes and tools are vital to support all the development phases of agent-based systems, and guarantee that these systems are built properly. Indeed, many modeling languages and implementation frameworks are available for system engineers. However, there are few methods that properly combine agent-oriented design and implementation initiatives. In this paper, we propose a development method that goes from the requirements elicitation to the actual implementation of agent systems using a modeling language and an implementation framework. We also present a case study to illustrate the suitability of our approach. © 2006 Elsevier Inc. All rights reserved.","['Brazil', 'Brazil', 'Brazil', 'Brazil', 'Brazil']","['Pontifical Catholic University of Rio de Janeiro', 'Instituto Militar de Engenharia', 'Pontifical Catholic University of Rio de Janeiro', 'Pontifical Catholic University of Rio de Janeiro', 'Pontifical Catholic University of Rio de Janeiro']"
A conceptual LUTI model based on neural networks,2004," Tillema,  van Maarseveen",,Article,10,WIT Transactions on the Built Environment,https://doi.org/10.2495/UT040201,0,Scopus,Planning,Planning and Scheduling,Deep Learning,Model Creation - Automated,"(Re-) Design, Representation",DSML,Not Available,Concepts,Solution,"[{'name': ' Tillema', 'Affiliation(s)': ('Twente, University of', 'Netherlands')}, {'name': ' van Maarseveen', 'Affiliation(s)': ('Twente, University of', 'Netherlands')}]",A conceptual model of a data driven land-use-transport-interaction (LUTI) modeling tool based on neural networks is analyzed. The lack of a good theoretical framework impedes the development and consequently the use of these models on a large scale. The state of the art in LUTI modeling shows that the used models are not widely applicable and to a large extent have theoretical drawbacks. Modeling less comprehensively is proposed as acceptable when modeling land use is done in a transport planning framework.,"['Netherlands', 'Netherlands']","['University of Twente', 'University of Twente']"
A Conceptual Model for Developing a Smart Process Control System,2018,"Dennis Weihrauch, Paul Anton Schindler, Wilfried Sihn","Manufacturing execution system, Smart process control, Requirements analysis, Decision support",Conference Paper,6,"Conference on Intelligent Computation in Manufacturing Engineering, CICME",https://doi.org/10.1016/j.procir.2017.12.230,10,Science Direct,Learning,Machine learning,Machine Learning,"Model Use - Analyzing, Model Use - Processing","Representation, Analysis","DSML, Others",Not Available,Concepts,Solution,"[{'name': 'Dennis Weihrauch', 'Affiliation(s)': ('Fraunhofer Austria Research Gmbh', 'Austria')}, {'name': 'Paul Anton Schindler', 'Affiliation(s)': ('Fraunhofer Austria Research Gmbh', 'Austria')}, {'name': 'Wilfried Sihn', 'Affiliation(s)': (('Fraunhofer Austria Research Gmbh', 'Austria'), ('TU Wien', 'Austria'))}]","Current Manufacturing Execution Systems (MES) are not supporting a full integration into overall processes across the supply chain. Thus, optimization is limited to single areas. The SemI40 project is aimed at developing an integrated concept of Smart Process Control System (SPCS), which enhances the overall agility and productivity. The system, therefore, autonomously acquires and interprets process data to allow product individual optimization and enhancing logistics management. It also provides full traceability across the supply chain in real-time and allows model based process simulation and decision making support. The concept is developed based on requirements elicitation in cooperation with industry partners and combines state-of-the-art technologies with current trends, like vertical integration, big data and machine learning.","['Austria', 'Austria', 'Austria', 'Austria']","['Fraunhofer Austria Research Gmbh', 'Fraunhofer Austria Research Gmbh', 'Fraunhofer Austria Research Gmbh', 'TU Wien']"
A conceptual modeling framework for business analytics,2016,"Soroosh Nalchigar, Eric Yu, Rajgopal Ramani",,Conference Paper,15,"International Conference on Conceptual Modeling, ER",https://doi.org/10.1007/978-3-319-46397-1_3,20,Scopus,Learning,Machine learning,Machine Learning,Model Use - Processing,"Representation, Analysis",DSML,Not Available,Concepts,"Solution, Evaluation","[{'name': 'Soroosh Nalchigar', 'Affiliation(s)': ('Toronto, University of', 'Canada')}, {'name': 'Eric Yu', 'Affiliation(s)': ('Toronto, University of', 'Canada')}, {'name': 'Rajgopal Ramani', 'Affiliation(s)': ('Deloitte Consulting', 'Canada')}]","Data analytics is an essential element for success in modern enterprises. Nonetheless, to effectively design and implement analytics systems is a non-trivial task. This paper proposes a modeling framework (a set of metamodels and a set of design catalogues) for requirements analysis of data analytics systems. It consists of three complementary modeling views: business view, analytics design view, and data preparation view. These views are linked together and act as a bridge between enterprise strategies, analytics algorithms, and data preparation activities. The framework comes with a set of catalogues that codify and represent an organized body of business analytics design knowledge. The framework has been applied to three real-world case studies and findings are discussed.","['Canada', 'Canada', 'Canada']","['University of Toronto', 'University of Toronto', 'Deloitte Consulting']"
A CSP approach for metamodel instantiation,2013,"Adel Ferdjoukh, Anne-Elisabeth Baert, Annie Chateau, Rémi Coletta, Clémentine Nebut",CSP; Model Driven Engineering; Metamodel,Conference Paper,8,"International Conference on Tools with Artificial Intelligence, ICTAI",https://doi.org/10.1109/ICTAI.2013.156,13,Scopus,Planning,Optimization,Object Constraint Satisfaction,Model Creation - Automated,Representation,Ecore,Not Available,Concepts,"Solution, Evaluation","[{'name': 'Adel Ferdjoukh', 'Affiliation(s)': ('Laboratory of Computer Science, Robotics and Microelectronics of Montpellier', 'France')}, {'name': 'Anne-Elisabeth Baert', 'Affiliation(s)': ('Laboratory of Computer Science, Robotics and Microelectronics of Montpellier', 'France')}, {'name': 'Annie Chateau', 'Affiliation(s)': ('Laboratory of Computer Science, Robotics and Microelectronics of Montpellier', 'France')}, {'name': 'Rémi Coletta', 'Affiliation(s)': ('Laboratory of Computer Science, Robotics and Microelectronics of Montpellier', 'France')}, {'name': 'Clémentine Nebut', 'Affiliation(s)': ('Laboratory of Computer Science, Robotics and Microelectronics of Montpellier', 'France')}]","This work is a contribution of Artificial Intelligence to Software Engineering. We present a comprehensive approach to metamodel instantiation using CSP. The generation of models which conform to a given metamodel is a crucial issue in Software Engineering, especially when it comes to produce a variate and large dataset of relevant models to test model transformations or to properly design new metamodels. We define an original constraint modeling of the problem of generating a model conform to a metamodel, also taking into account its additional OCL constraints. The generation process we describe appears to be quicker, more efficient and flexible than any other state-of-the-art approach. © 2013 IEEE.","['France', 'France', 'France', 'France', 'France']","['Laboratory of Computer Science, Robotics and Microelectronics of Montpellier', 'Laboratory of Computer Science, Robotics and Microelectronics of Montpellier', 'Laboratory of Computer Science, Robotics and Microelectronics of Montpellier', 'Laboratory of Computer Science, Robotics and Microelectronics of Montpellier', 'Laboratory of Computer Science, Robotics and Microelectronics of Montpellier']"
A design for coordinated and logics-mediated conceptual modelling,2016,"Pablo Rubén Fillottrani, C. Maria Keet",,Conference Paper,5,CEUR Workshop,,4,Scopus,Reasoning,Knowledge representation,Description Logics,Model Creation - Automated,Representation,"Entity Relationship, Entity Relationship, UML & UML Diagram Type & UML Profile, Others",Not Available,Algorithms,Solution,"[{'name': 'Pablo Rubén Fillottrani', 'Affiliation(s)': [('South National University', 'Argentina'), ('Comision de Investigaciones Cientificas - La Plata', 'Argentina')]}, {'name': 'C. Maria Keet', 'Affiliation(s)': ('Cape Town, University of', 'South Africa')}]","The past 20 years have seen many efforts to provide logic-based reconstructions of various conceptual modelling languages so as to automatically reason over them, using a myriad of logics and those in the DL family of languages in particular. Subtle differences in the languages as well as modellers' preferences make it difficult to put the pieces together to provide one unified view and system. Therefore, we propose a mechanism to unify the back-end in the tool yet showing linkable ORM, UML, and ER diagrams in the interface. This is achieved by taking a two-pronged approach: 1) supporting full expressiveness of these languages and relying on a unifying metamodel, and 2) a logics back-end for their evidence-driven profiles in DL. Both have a set of rules for inter-model assertions. These profiles are tractable. As a result, we propose an architectural design for a tool that would help to integrate heterogeneous conceptual models and link them with ontologies, based on clear semantic specifications and with tractable algorithms.","['Argentina', 'Argentina', 'South Africa']","['South National University', 'Comision de Investigaciones Cientificas - La Plata', 'University of Cape Town']"
A distributed workflow modeling method based on users' demand,2010,"Mingyuan Yu, Li Jiang, Lei Ye, Ronghua Liang",,Conference Paper,8,"IEEE Asia-Pacific Services Computing Conference, APSCC",https://doi.org/10.1109/APSCC.2010.13,1,Scopus,"Planning, Integration and Interaction",Multi-agent systems,Multi-Agent Systems,Model Use - Processing,Representation,DSML,Closed,Algorithms,"Solution, Evaluation","[{'name': 'Mingyuan Yu', 'Affiliation(s)': ('Zhejiang University of Technology', 'China')}, {'name': 'Li Jiang', 'Affiliation(s)': ('Zhejiang University of Technology', 'China')}, {'name': 'Lei Ye', 'Affiliation(s)': ('Zhejiang University of Technology', 'China')}, {'name': 'Ronghua Liang', 'Affiliation(s)': ('Zhejiang University of Technology', 'China')}]","Constructing Web service workflow faces huge challenges in the volatile, heterogeneous, distributed environment: it is necessary to consider the dynamic changes in web services, but also take into account the rapid method of modeling workflow. Comparing workflow modeling and artificial intelligence planning process, if the Web service as a planned action (or activity), then the modern AI planning and workflow modeling to integrate, so we can use AI planning technology to solve the distributed workflow modeling. This paper presents a distributed service workflow model based on user demand (DSWMoUD), which is composed of the web services organizations model, the business concept model, business logic model, user demand model, business scheduling model and business enactment model. In order to improve the retrieval efficiency of distributed service, our proposed distributed service organizations model made up of web service registration system(WSRS) and web service spanning tree (WSST), and we give a building algorithm for WSST and a business logic spanning graph algorithm. Introducing the artificial intelligence planning techniques into the distributed workflow modeling, we implement the prototype system, which is Self-Adaptive Web Contractual Computing Management System (SAWCM). Property analysis of the new model is also made, which leads to the conclusion that the DSWMoUD may be applied as an optimized approach towards efficient and effective distributed service workflow modeling. © 2010 IEEE.","['China', 'China', 'China', 'China']","['Zhejiang University of Technology', 'Zhejiang University of Technology', 'Zhejiang University of Technology', 'Zhejiang University of Technology']"
A domain-specific visual language for modeling metacognition in intelligent systems,2015,"Manuel F. Caro, Darsana P. Josyula, Jovani A. Jiménez, Catriona M. Kennedy, Michael T. Cox",Metacognition; Domain-specific visual language; Intelligent system; Modeling tool; MOF,Article,16,"Biologically Inspired Cognitive Architectures, BICA",https://doi.org/10.1016/j.bica.2015.06.004,4,Scopus,Integration and Interaction,Multi-agent systems,Multi-Agent Systems,Model Use - Processing,Representation,DSML,Closed,Concepts,"Solution, Evaluation","[{'name': 'Manuel F. Caro', 'Affiliation(s)': ('Córdoba, Monteria, Universidad de', 'Colombia')}, {'name': 'Darsana P. Josyula', 'Affiliation(s)': ('Bowie State University', 'United States')}, {'name': 'Jovani A. Jiménez', 'Affiliation(s)': ('National University of Colombia, Medellín Campus', 'Colombia')}, {'name': 'Catriona M. Kennedy', 'Affiliation(s)': ('The University of Manchester', 'United Kingdom')}, {'name': 'Michael T. Cox', 'Affiliation(s)': ()}]",Metacognition has been used in artificial intelligence to increase the level of autonomy of intelligent systems. However the design of systems with metacognitive capabilities is a difficult task due to the number and complexity of processes involved. This paper presents a domain-specific visual language specifically developed for modeling metacognition in intelligent systems called M++. In M++ the specifications of the cognitive level (object-level) and metacognitive level (meta-level) are supported in a metamodel configured according to the standard Meta-Object Facility (MOF) of Model-Driven Architecture (MDA) methodology. M++ allows the generation of metacognitive diagrams in a visual editor named MetaThink. A validation process was conducted to ensure the reliability of M++ in terms of quality of the notation and consistency of generated models. The validation was performed using two techniques: (i) empirical study and (ii) model tracing. The results given in the experimental study demonstrate that M++ is a useful notation for the process of modeling metacognitive components in intelligent systems. Metacognitive models generated from the validation process using the Tracing technique were consistent with the MOF-based metamodel. M++ contribute to cognitive architecture research adding precision to metacognitive concepts and enabling cognitive architecture researchers to do fast and exploratory prototyping of metacognitive systems using MetaThink tool.,"['Colombia', 'United States', 'Colombia', 'United Kingdom']","['Córdoba, Monteria, Universidad de', 'Bowie State University', 'National University of Colombia, Medellín Campus', 'The University of Manchester']"
