,Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Abstract,Author Keywords,Document Type,Publication Stage,Open Access,Source,EID
0,"Fabian Kneer, Erik Kamsties",56152998800;22333901100;,A case study on self-configuring systems in IoT based on a model-driven prototyping approach,2016.0,Communications in Computer and Information Science,639,,,732,741,,2.0,10.1007/978-3-319-46254-7_59,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84988811894&doi=10.1007%2f978-3-319-46254-7_59&partnerID=40&md5=e440982f8b28e1bb488f42e3c73675ae,"[Context and motivation] In the last years, the development of the Internet of Things (IoT) with self-configuring systems (SCS) became more important. Consequently, many different solutions have been developed. [Question/problem] We observed a lack of common benchmarks, in particular for the IoT domain to evaluate and compare solutions. There are very few accessible cases (examples) for SCSs published at all. [Principal ideas/results] We propose a case from the IoT domain, smart cities in particular, which comprises of hardware and software components. Starting point is a smart street lighting system with communication between the lamps and passing cars. [Contribution] First, in this paper we present our initial results of running a case study with a model-based prototyping framework on the smart street light. The framework includes a software simulation of the street lamp and the events from the passing cars. Second, an engineer can use the case as a benchmark to compare several approaches in order to make a more informed decision which approach to choose. © Springer International Publishing Switzerland 2016.",Case studies; Experimentation; Self-configuring systems,Conference Paper,Final,,Scopus,2-s2.0-84988811894
1,"Danilo Arruda, Matheus Marinho, Eric Souza, Fernando Wanderley",57205726003;57205728075;57190191989;55389736500;,A Chatbot for Goal-Oriented Requirements Modeling,2019.0,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),11622 LNCS,,,506,519,,3.0,10.1007/978-3-030-24305-0_38,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068606397&doi=10.1007%2f978-3-030-24305-0_38&partnerID=40&md5=057afa5bcd65f031d936d1a4f52ff004,"Goal-Oriented Requirements Engineering approaches, in which the KAOS framework plays a key role, have been widely used for eliciting software requirements because they provide an easier way of communicating among stakeholders. However, the goal-oriented requirements modeling is not an easy way for novice requirements engineers. These professionals need more support in creating KAOS models. Recent studies have focused on the applicability of Artificial Intelligence techniques (e.g., Natural Language Processing – NLP) to support Requirements Engineering activities. In this sense, this paper aims to describe a way to support requirements elicitation for novice requirements engineers through the use of NLP within a chatbot. The chatbot (KAOSbot) acts as a KAOS modeling assistant. To evaluate our hypotheses about perceived efficacy from the novice requirements engineers perspective, we performed a quasi-experiment concerning KAOSbot’s perceived ease of use, perceived usefulness and intention to use. The results show that KAOSbot tool is a promising approach for specifying KAOS models because it was perceived as easy to use, useful, and the participants intend to use it in the future. © 2019, Springer Nature Switzerland AG.",Chatbot; Goal-Oriented Requirements Engineering; KAOS modeling; Natural Language Processing; Quasi-experiment,Conference Paper,Final,,Scopus,2-s2.0-85068606397
2,"José Alberto R.P. Sardinha, Ricardo Choren, Viviane Torres da Silva, Ruy Milidiú, Carlos J.P. de Lucena",17435730600;6507815235;7102297160;6602892749;26643099500;,A combined specification language and development framework for agent-based application engineering,2006.0,Journal of Systems and Software,79,11,,1565,1577,,5.0,10.1016/j.jss.2006.02.018,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33748373804&doi=10.1016%2fj.jss.2006.02.018&partnerID=40&md5=d4d1dbf02db37cacc1c274b10ca0e9cf,"Software agents are used to solve several complex problems. Software engineering processes and tools are vital to support all the development phases of agent-based systems, and guarantee that these systems are built properly. Indeed, many modeling languages and implementation frameworks are available for system engineers. However, there are few methods that properly combine agent-oriented design and implementation initiatives. In this paper, we propose a development method that goes from the requirements elicitation to the actual implementation of agent systems using a modeling language and an implementation framework. We also present a case study to illustrate the suitability of our approach. © 2006 Elsevier Inc. All rights reserved.",Agent oriented software engineering; Framework; Software agents,Article,Final,,Scopus,2-s2.0-33748373804
3,"Soroosh Nalchigar, Eric Yu, Rajgopal Ramani",23978584000;7202680853;57213982952;,A conceptual modeling framework for business analytics,2016.0,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),9974 LNCS,,,35,49,,13.0,10.1007/978-3-319-46397-1_3,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84997334730&doi=10.1007%2f978-3-319-46397-1_3&partnerID=40&md5=81cb2813ae4a1177834d3e2ef909316d,"Data analytics is an essential element for success in modern enterprises. Nonetheless, to effectively design and implement analytics systems is a non-trivial task. This paper proposes a modeling framework (a set of metamodels and a set of design catalogues) for requirements analysis of data analytics systems. It consists of three complementary modeling views: business view, analytics design view, and data preparation view. These views are linked together and act as a bridge between enterprise strategies, analytics algorithms, and data preparation activities. The framework comes with a set of catalogues that codify and represent an organized body of business analytics design knowledge. The framework has been applied to three real-world case studies and findings are discussed. © Springer International Publishing AG 2016.",Business analytics; Conceptual modeling; Data analytics; Goal-oriented requirements engineering; Machine learning,Conference Paper,Final,,Scopus,2-s2.0-84997334730
4,"Adel Ferdjoukh, Anne-Elisabeth Baert, Annie Chateau, Rémi Coletta, Clémentine Nebut",56102264700;8342585500;22333728000;13105684600;15045364000;,A CSP approach for metamodel instantiation,2013.0,"Proceedings - International Conference on Tools with Artificial Intelligence, ICTAI",,,6735367,1044,1051,,13.0,10.1109/ICTAI.2013.156,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84897742023&doi=10.1109%2fICTAI.2013.156&partnerID=40&md5=2b7af224236f6e577c647472382cf91f,"This work is a contribution of Artificial Intelligence to Software Engineering. We present a comprehensive approach to metamodel instantiation using CSP. The generation of models which conform to a given metamodel is a crucial issue in Software Engineering, especially when it comes to produce a variate and large dataset of relevant models to test model transformations or to properly design new metamodels. We define an original constraint modeling of the problem of generating a model conform to a metamodel, also taking into account its additional OCL constraints. The generation process we describe appears to be quicker, more efficient and flexible than any other state-of-the-art approach. © 2013 IEEE.",CSP; Metamodel; Model Driven Engineering,Conference Paper,Final,"All Open Access, Green",Scopus,2-s2.0-84897742023
5,"Pablo Rubén Fillottrani, C. Maria Keet",13006158600;8964217800;,A design for coordinated and logics-mediated conceptual modelling,2016.0,CEUR Workshop Proceedings,1577,,,,,,4.0,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84978139589&partnerID=40&md5=d757ff8e814c47485324440fd8b317d7,"The past 20 years have seen many efforts to provide logic-based reconstructions of various conceptual modelling languages so as to automatically reason over them, using a myriad of logics and those in the DL family of languages in particular. Subtle differences in the languages as well as modellers' preferences make it difficult to put the pieces together to provide one unified view and system. Therefore, we propose a mechanism to unify the back-end in the tool yet showing linkable ORM, UML, and ER diagrams in the interface. This is achieved by taking a two-pronged approach: 1) supporting full expressiveness of these languages and relying on a unifying metamodel, and 2) a logics back-end for their evidence-driven profiles in DL. Both have a set of rules for inter-model assertions. These profiles are tractable. As a result, we propose an architectural design for a tool that would help to integrate heterogeneous conceptual models and link them with ontologies, based on clear semantic specifications and with tractable algorithms. © 2016, CEUR-WS. All rights reserved.",,Conference Paper,Final,,Scopus,2-s2.0-84978139589
6,"Mingyuan Yu, Li Jiang, Lei Ye, Ronghua Liang",24330108000;56637409200;37014234700;55622054000;,A distributed workflow modeling method based on users' demand,2010.0,"Proceedings - 2010 IEEE Asia-Pacific Services Computing Conference, APSCC 2010",,,5708576,237,244,,1.0,10.1109/APSCC.2010.13,https://www.scopus.com/inward/record.uri?eid=2-s2.0-79952394060&doi=10.1109%2fAPSCC.2010.13&partnerID=40&md5=5f49560b88d37b054d11c7f083026e6b,"Constructing Web service workflow faces huge challenges in the volatile, heterogeneous, distributed environment: it is necessary to consider the dynamic changes in web services, but also take into account the rapid method of modeling workflow. Comparing workflow modeling and artificial intelligence planning process, if the Web service as a planned action (or activity), then the modern AI planning and workflow modeling to integrate, so we can use AI planning technology to solve the distributed workflow modeling. This paper presents a distributed service workflow model based on user demand (DSWMoUD), which is composed of the web services organizations model, the business concept model, business logic model, user demand model, business scheduling model and business enactment model. In order to improve the retrieval efficiency of distributed service, our proposed distributed service organizations model made up of web service registration system(WSRS) and web service spanning tree (WSST), and we give a building algorithm for WSST and a business logic spanning graph algorithm. Introducing the artificial intelligence planning techniques into the distributed workflow modeling, we implement the prototype system, which is Self-Adaptive Web Contractual Computing Management System (SAWCM). Property analysis of the new model is also made, which leads to the conclusion that the DSWMoUD may be applied as an optimized approach towards efficient and effective distributed service workflow modeling. © 2010 IEEE.",Artificial intelligence planning; Distributed computing; Services workflow; Workflow modeling,Conference Paper,Final,,Scopus,2-s2.0-79952394060
7,"Manuel F. Caro, Darsana P. Josyula, Jovani A. Jiménez, Catriona M. Kennedy, Michael T. Cox",56293320700;6506942082;56394699100;57201539297;57209861105;,A domain-specific visual language for modeling metacognition in intelligent systems,2015.0,Biologically Inspired Cognitive Architectures,13,,,75,90,,4.0,10.1016/j.bica.2015.06.004,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84941184699&doi=10.1016%2fj.bica.2015.06.004&partnerID=40&md5=28535d3b203dbde752317399320395fd,Metacognition has been used in artificial intelligence to increase the level of autonomy of intelligent systems. However the design of systems with metacognitive capabilities is a difficult task due to the number and complexity of processes involved. This paper presents a domain-specific visual language specifically developed for modeling metacognition in intelligent systems called M++. In M++ the specifications of the cognitive level (object-level) and metacognitive level (meta-level) are supported in a metamodel configured according to the standard Meta-Object Facility (MOF) of Model-Driven Architecture (MDA) methodology. M++ allows the generation of metacognitive diagrams in a visual editor named MetaThink. A validation process was conducted to ensure the reliability of M++ in terms of quality of the notation and consistency of generated models. The validation was performed using two techniques: (i) empirical study and (ii) model tracing. The results given in the experimental study demonstrate that M++ is a useful notation for the process of modeling metacognitive components in intelligent systems. Metacognitive models generated from the validation process using the Tracing technique were consistent with the MOF-based metamodel. M++ contribute to cognitive architecture research adding precision to metacognitive concepts and enabling cognitive architecture researchers to do fast and exploratory prototyping of metacognitive systems using MetaThink tool. © 2015 Elsevier B.V. All rights reserved.,Domain-specific visual language; Intelligent system; Metacognition; Modeling tool; MOF,Article,Final,,Scopus,2-s2.0-84941184699
8,"Changyun Wei, Koen V. Hindriks,  Birna Van Riemsdijk, Catholijn M. Jonker",55841845200;55904124900;57193397766;7006702150;,A Formal Graphical Language of Interdependence in Teamwork,2019.0,IEEE Intelligent Systems,34,5,8844773,25,34,,1.0,10.1109/MIS.2019.2942580,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072734980&doi=10.1109%2fMIS.2019.2942580&partnerID=40&md5=f3183d47d637fc14a6f4f865b58b6a35,"Agents in teamwork may be highly interdependent on each other, and the awareness of interdependences is an important requirement for designing and consequently implementing a multiagent system. In this article, we propose a formal graphical and domain-independent language that can facilitate the identification of comprehensive interdependences among the agents in teamwork. Moreover, a formal semantics is also introduced to precisely express and explain the properties of a graphical structure. The novel feature of the graphical language is that it complements the Interdependence Analysis Color Scheme in a way that explicitly models negative influences and, in addition, provides a visual-communication aid for developers. To demonstrate the applicability and sufficiency of the graphical language in a variety of domains, our case studies include a multirobot scenario and a human-robot scenario. © 2001-2011 IEEE.",,Article,Final,"All Open Access, Green",Scopus,2-s2.0-85072734980
9,"Rosalvo Neto, Paulo Jorge Adeodato, Ana Carolina Salgado",24470273700;57192709152;7005195890;,A framework for data transformation in Credit Behavioral Scoring applications based on Model Driven Development,2017.0,Expert Systems with Applications,72,,,293,305,,10.0,10.1016/j.eswa.2016.10.059,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85007545437&doi=10.1016%2fj.eswa.2016.10.059&partnerID=40&md5=eede38e92df0ad7a39f2faeee4f6579d,"The preprocessing stage in knowledge discovery projects is costly, normally taking between 50% and 80% of the total project time. It is in this stage that data in a relational database are transformed for applying a data mining technique. This stage is a complex task that demands from database designers a strong interaction with experts having a broad knowledge about the application domain. Frameworks aiming to systemize this stage have significant limitations when applied to Credit Behavioral Scoring solutions. This paper proposes a framework based on the Model Driven Development approach to systemize the mentioned stage. This work has three main contributions: 1) improving the discriminant power of data mining techniques by means of the construction of new input variables which embed temporal knowledge for the technique; 2) reducing the time of data transformation using automatic code generation, and 3) allowing artificial intelligence and statistics modelers to perform the data transformation without the help of database experts. In order to validate the proposed framework, two comparative studies were conducted. Experiments showed that the proposed framework delivers a performance equivalent or superior to those of existing frameworks and reduces the time of data transformation with a confidence level of 95%. © 2016",Credit Behavioral Scoring; Data mining; Model Driven Development; Relational classification,Article,Final,,Scopus,2-s2.0-85007545437
